Time: 14789ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 14791ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 14794ms |  Marker 8: moved from 1 to 2 | use transition 1
Time: 15011ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 15013ms |  Marker 10: moved from 0 to 1 | use transition 0
Time: 15015ms |  Marker 4: moved from 1 to 2 | use transition 1
Time: 15229ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 15232ms |  Marker 1: moved from 2 to 0 | use transition 2
Time: 15234ms |  Marker 6: moved from 1 to 2 | use transition 1
Time: 15452ms |  Marker 3: moved from 1 to 2 | use transition 1
Time: 15455ms |  Marker 2: moved from 2 to 0 | use transition 2
Time: 15457ms |  Marker 7: moved from 0 to 1 | use transition 0
Time: 15676ms |  Marker 8: moved from 2 to 0 | use transition 2
Time: 15679ms |  Marker 9: moved from 1 to 2 | use transition 1
Time: 15682ms |  Marker 5: moved from 0 to 1 | use transition 0
Time: 15897ms |  Marker 3: moved from 2 to 0 | use transition 2
Time: 15899ms |  Marker 10: moved from 1 to 2 | use transition 1
Time: 15902ms |  Marker 11: moved from 0 to 1 | use transition 0
Time: 16120ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 16123ms |  Marker 0: moved from 1 to 2 | use transition 1
Time: 16125ms |  Marker 4: moved from 2 to 0 | use transition 2
Time: 16341ms |  Marker 6: moved from 2 to 0 | use transition 2
Time: 16344ms |  Marker 2: moved from 0 to 1 | use transition 0
Time: 16346ms |  Marker 5: moved from 1 to 2 | use transition 1
Time: 16562ms |  Marker 8: moved from 0 to 1 | use transition 0
Time: 16566ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 16568ms |  Marker 11: moved from 1 to 2 | use transition 1
Time: 16788ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 16790ms |  Marker 7: moved from 1 to 2 | use transition 1
Time: 16792ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 17008ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 17011ms |  Marker 10: moved from 2 to 0 | use transition 2
Time: 17013ms |  Marker 4: moved from 0 to 1 | use transition 0
Time: 17228ms |  Marker 2: moved from 1 to 2 | use transition 1
Time: 17230ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 17232ms |  Marker 9: moved from 0 to 1 | use transition 0
Time: 17450ms |  Marker 6: moved from 0 to 1 | use transition 0
Time: 17453ms |  Marker 8: moved from 1 to 2 | use transition 1
Time: 17454ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 17669ms |  Marker 7: moved from 2 to 0 | use transition 2
Time: 17672ms |  Marker 5: moved from 0 to 1 | use transition 0
Time: 17673ms |  Marker 3: moved from 1 to 2 | use transition 1
Time: 17891ms |  Marker 4: moved from 1 to 2 | use transition 1
Time: 17893ms |  Marker 8: moved from 2 to 0 | use transition 2
Time: 17896ms |  Marker 10: moved from 0 to 1 | use transition 0
Time: 18115ms |  Marker 1: moved from 2 to 0 | use transition 2
Time: 18117ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 18128ms |  Marker 9: moved from 1 to 2 | use transition 1
Time: 18351ms |  Marker 2: moved from 2 to 0 | use transition 2
Time: 18354ms |  Marker 11: moved from 0 to 1 | use transition 0
Time: 18356ms |  Marker 6: moved from 1 to 2 | use transition 1
Time: 18571ms |  Marker 0: moved from 1 to 2 | use transition 1
Time: 18574ms |  Marker 7: moved from 0 to 1 | use transition 0
Time: 18575ms |  Marker 3: moved from 2 to 0 | use transition 2
Time: 18791ms |  Marker 5: moved from 1 to 2 | use transition 1
Time: 18792ms |  Marker 4: moved from 2 to 0 | use transition 2
Time: 18795ms |  Marker 2: moved from 0 to 1 | use transition 0
Time: 19013ms |  Marker 8: moved from 0 to 1 | use transition 0
Time: 19015ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 19017ms |  Marker 10: moved from 1 to 2 | use transition 1
Time: 19234ms |  Marker 11: moved from 1 to 2 | use transition 1
Time: 19236ms |  Marker 6: moved from 2 to 0 | use transition 2
Time: 19238ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 19454ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 19457ms |  Marker 2: moved from 1 to 2 | use transition 1
Time: 19459ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 19678ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 19679ms |  Marker 7: moved from 1 to 2 | use transition 1
Time: 19682ms |  Marker 4: moved from 0 to 1 | use transition 0
Time: 19895ms |  Marker 8: moved from 1 to 2 | use transition 1
Time: 19897ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 20113ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 20117ms |  Marker 9: moved from 0 to 1 | use transition 0
Time: 20118ms |  Marker 10: moved from 2 to 0 | use transition 2
